x,y,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,TOTAL_SNOW,DIRECTION_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,DIRECTION_MAX_GUST,MIN_TEMPERATURE,TOTAL_SNOW_FLAG,MEAN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS_FLAG,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,CLIMATE_IDENTIFIER,LOCAL_DAY,SNOW_ON_GROUND,LOCAL_MONTH,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,PROVINCE_CODE,STATION_NAME,ID,TOTAL_PRECIPITATION_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE
-79.08333333333333,43.13333333333333,,,1942-01-01 00:00:00,0,,,,,,,,,,,,,,6135638,1,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.1,,,1.3,1.3,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-02 00:00:00,0,,,,,,,,,,,,,,6135638,2,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.2,,,6.4,6.4,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-03 00:00:00,1.8,,,,,,,,,,,,,,6135638,3,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.3,,,1.8,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-04 00:00:00,1,,,,,,,,,,,,,,6135638,4,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.4,,,1,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-05 00:00:00,0,,,,,,,,,,,,,,6135638,5,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.5,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-06 00:00:00,0,,,,,,T,,,,,,,,6135638,6,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.6,T,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-07 00:00:00,1.3,,,,,,,,,,,,,,6135638,7,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.7,,,1.3,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-08 00:00:00,0,,,,,,,,,,,,,,6135638,8,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.8,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-09 00:00:00,2.3,,,,,,,,,,,,,,6135638,9,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.9,,,2.3,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-10 00:00:00,3.3,,,,,,,,,,,,,,6135638,10,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.10,,,3.3,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-11 00:00:00,0.5,,,,,,,,,,,,,,6135638,11,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.11,,,0.5,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-12 00:00:00,0,,,,,,,,,,,,,,6135638,12,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.12,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-13 00:00:00,0,,,,,,,,,,,,,,6135638,13,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.13,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-14 00:00:00,0,,,,,,,,,,,,,,6135638,14,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.14,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-15 00:00:00,0.3,,,,,,,,,,,,,,6135638,15,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.15,,,0.3,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-16 00:00:00,0,,,,,,,,,,,,,,6135638,16,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.16,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-17 00:00:00,0,,,,,,,,,,,,,,6135638,17,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.17,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-18 00:00:00,0,,,,,,,,,,,,,,6135638,18,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.18,,,7.9,7.9,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-19 00:00:00,0,,,,,,,,,,,,,,6135638,19,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.19,,,1,1,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-20 00:00:00,0,,,,,,,,,,,,T,,6135638,20,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.20,T,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-21 00:00:00,0,,,,,,T,,,,,,,,6135638,21,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.21,T,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-22 00:00:00,0,,,,,,,,,,,,,,6135638,22,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.22,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-23 00:00:00,0,,,,,,,,,,,,,,6135638,23,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.23,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-24 00:00:00,0,,,,,,,,,,,,,,6135638,24,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.24,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-25 00:00:00,0,,,,,,,,,,,,,,6135638,25,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.25,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-26 00:00:00,0,,,,,,,,,,,,,,6135638,26,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.26,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-27 00:00:00,0,,,,,,,,,,,,,,6135638,27,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.27,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-28 00:00:00,0,,,,,,,,,,,,,,6135638,28,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.28,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-29 00:00:00,0,,,,,,,,,,,,,,6135638,29,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.29,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-30 00:00:00,0,,,,,,,,,,,,,,6135638,30,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.30,,,0.5,0.5,1942,,
-79.08333333333333,43.13333333333333,,,1942-01-31 00:00:00,0,,,,,,,,,,,,,,6135638,31,,1,,,,ON,NIAGARA FALLS,6135638.1942.1.31,,,6.6,6.6,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-01 00:00:00,2.5,,,,,,,,,,,,,,6135638,1,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.1,,,2.5,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-02 00:00:00,2.5,,,,,,,,,,,,,,6135638,2,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.2,,,2.5,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-03 00:00:00,0,,,,,,,,,,,,,,6135638,3,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.3,,,0,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-04 00:00:00,8.4,,,,,,,,,,,,,,6135638,4,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.4,,,8.4,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-05 00:00:00,10.2,,,,,,,,,,,,,,6135638,5,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.5,,,10.2,0,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-06 00:00:00,11.9,,,,,,,,,,,,,,6135638,6,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.6,,,36.1,24.1,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-07 00:00:00,2.5,,,,,,,,,,,,,,6135638,7,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.7,,,9.1,6.6,1942,,
-79.08333333333333,43.13333333333333,,,1942-02-08 00:00:00,0,,,,,,,,,,,,,,6135638,8,,2,,,,ON,NIAGARA FALLS,6135638.1942.2.8,,,0,0,1942,,
